Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
མཐའ་དག་རྣམ་པར་དག་པར་བྱས་ནས་བདག་ཉིད་,,,ཀྱི་,,སྙིང་གར་ཞུགས་པ་ལས། བདག་ཉིད་འཇིག་རྟེན་དབང་,K,p,,,,,,,,p d 80.00%,p (1), སྙིང(1), བདག་ཉིད(208); d ཀྱི(5256), ཀྱི་སྙིང(2022), བདག་ཉིད་ཀྱི(54); ,269_འཕགས་པ་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས།,3
ལ། དེ་ནས་ཨོཾ་སྭ་བྷཱ་བ་བི་ཤུདྡྷཿསརྦྦ་,#དྷརྨསྭ་,,#དྷརྨཱཿསྭ་,,སྭ་བྷཱ་བ་བི་ཤུདྡྷོཉཧཾ། དེ་ལྟར་སྟོང་བ་,K,,,,✓,,,,,p d 80.00%,p ; d དྷརྨཱཿསྭ(2); ,269_འཕགས་པ་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས།,2
པར་དག་པར་བྱས་ནས་བདག་ཉིད་ཀྱི་སྙིང་གར་,བཞུགས་པ་,,ཞུགས་པ་,,ལས། བདག་ཉིད་འཇིག་རྟེན་དབང་ཕྱུག་གི་སྐུ་,K,,,,,?,,,,p d 80.00%,p བཞུགས་པ(298); d ཞུགས་པ(625), ཞུགས་པ་ལས(77); ,269_འཕགས་པ་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས།,4
,།་  བཞུགས་ སོ,,,,༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཥ་ཊཱ་ཀྵ་,K,,,,,,s,,,p d 80.00%,p ; d (1), གཞུང(803); ,269_འཕགས་པ་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས།,1
བ་དགེ་སློང་ཤཱཀྱ་བློ་གྲོས་ཀྱིས་བསྒྱུར་བའོ། །,,,,,,K,,,,,,,[ ],,p=d 20.00%,p (1), །_།(997103), འོ།_།(419); d (1), །_།(997103), འོ།_།(419); ,269_འཕགས་པ་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས།,5
