Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
དེ་དག་སྔགས་གྱི་ཚིག་རྣམ་པ་ལྔས་ཕན་ཡོན་,གྱི་,གྱི་,གྱི་,གྱིས་,སྒོ་ནས་བསྟན་ཏོ། །ལམ་རྣམ་པ་ལྔ་པོ་,K,p,,,,,,,,c=p=d n 66.67%,c གྱི(3024), གྱི་སྒོ(855); p གྱི(3024), གྱི་སྒོ(855); d གྱི(3024), གྱི་སྒོ(855); n གྱིས(7492); ,Q5221,5
པའི་ཕྱིར་རོ། །རྣལ་འབྱོར་གྱི་མངོན་སུམ་ནི་,བསླབས་,བསླབས་,བསླབས་,བརླབས་,ཟིན་པའི་ཕྱིར་དང་། བསླབས་པ་ལ་དགོས་པ་,K,,,,,≠,,,,c=p=d n 66.67%,c བསླབས(60); p བསླབས(60); d བསླབས(60); n བརླབས(156); ,Q5221,2
འདོད་པ་དང་གཟུགས་ན་སྤྱོད་པའི་ལྷའི་འཁོར་ལ་,འཁོར་ ལ་,འཁོར་ལོ་,འཁོར་ལོ་,འཁོར་ ལ་,ལམ་ཤེས་པ་དང་གཞི་ཤེས་པ་བསྟན་ཏོ། །,K,,,,,,≡,,,c=d p=n 16.67%,c འཁོར་ལོ(7335); p འཁོར་ལ(111); d འཁོར་ལོ(7335); n འཁོར་ལ(111); ,Q5221,1
མེད་པའོ་ཞེས་བྱ་བའི་བར་དུ་ཚིག་རྣམ་པ་,བརྒྱད་,བརྒྱད་,བརྒྱད་,བཅད་,ཀྱིས་བདག་ཉིད་ཀྱིས་བར་ཆད་མེད་པའི་ལམ། ,K,,,,,,≡,,,c=p=d n 66.67%,c བརྒྱད(316), བརྒྱད་ཀྱིས(531), རྣམ་པ་བརྒྱད(235); p བརྒྱད(316), བརྒྱད་ཀྱིས(531), རྣམ་པ་བརྒྱད(235); d བརྒྱད(316), བརྒྱད་ཀྱིས(531), རྣམ་པ་བརྒྱད(235); n བཅད(167); ,Q5221,3
རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན། མི་སློབ་པའི་,ལམ་ གྱི་,ལམ་ གྱི་,ལམ་ གྱི་,ལས་ ཀྱི་,སྦྱོར་བའི་རྣམ་པ་ལམ་དང་པོ་གཅིག་བསྟན་ཏོ,K,,,,,,≡,,,c=p=d n 66.67%,c ལམ་གྱི(3513); p ལམ་གྱི(3513); d ལམ་གྱི(3513); n ལས་ཀྱི(7315); ,Q5221,4
ཀྱིས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པའོ།། །།,,,,,,K,,,,,,,[ ],,c=p=d=n 16.67%,c (1), །།_།།(7586); p (1), །།_།།(7586); d (1), །།_།།(7586); n (1), །།_།།(7586); ,Q5221,6
