Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ལྟེ་བ་ལ། པཾ་ལས་པད་མ། དེའི་,ལྟེ་བ ར,,ལྟེ་བ,, །ཨ་ལས་ཟླ་བའི་དཀྱིལ་འཁོར་གྱི་སྟེང་དུ་,K,p,,,,,,,,p d 33.33%,p ལྟེ་བར(382); d ལྟེ་བ(644); ,278_ཚེ་བསྒྲུབ་པའི་ཐབས།,1
པར་ཐེ་ཚོམ་མེད་དོ། །རྡོ་རྗེ་ཚེ་བསྒྲུབ་,,,,,པའི་ཐབས་རྫོགས་སོ།།།།,K,,,,,,,[ ],,p=d 66.67%,p (1), །།།།(22); d (1), །།།།(22); ,278_ཚེ་བསྒྲུབ་པའི་ཐབས།,2
རྡོ་རྗེ་ཚེ་བསྒྲུབ་པའི་ཐབས་རྫོགས་སོ།།།།,,,,,,K,,,,,,,[ ],,p=d 66.67%,p (1), །།།།(22); d (1), །།།།(22); ,278_ཚེ་བསྒྲུབ་པའི་ཐབས།,3
