Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རི་ལུ་ལ་བསྟིམ་རིལ་བུ་དེ་སྒྲུབ་པ་པོས་,ཟོས་པ,ཟོས་པ ས,ཟོས་པ ས,ཟོས་པ ས,། འཇམ་པའི་དབྱངས་དང་ཤེས་རབ་མཉམ་པར་འགྱུར་,K,p,,,,,,,,c=d=n p 32.14%,c ཟོས་པས(94); p ཟོས་པ(429); d ཟོས་པས(94); n ཟོས་པས(94); ,D2701,22
པ་དེ་ཤ་པྲ་མོ་ད་ཏ་དྷ་བ་ནི་,#ཧྲིསྭཱ་,#ཧྲཱིཿསྭཱ་,#ཧྲཱིཿསྭཱ་,#ཧྲཱིཿསྭཱ་,སྭཱ་ཧཱ། སྔགས་ཀྱི་འོད་ཟེར་བདག་གི་ཞལ་,K,,,,✓,,,,,c=d=n p 32.14%,c ཧྲཱིཿསྭཱ(24); p ; d ཧྲཱིཿསྭཱ(24); n ཧྲཱིཿསྭཱ(24); ,D2701,16
ཀྱི་འོད་ཟེར་བདག་གི་ཞལ་ནས་ལྷ་མོའི་ཞལ་,#༼དུ,དུ,དུ,དུ,། ལྷ་མོའི་ཞལ་ནས་བདག་གི་ཐུགས་ཀར་ཐིམ་,K,,,,✓,,,,,c=d=n p 32.14%,c དུ(11516), དུ།_(6239), ཞལ་དུ(273); p ; d དུ(11516), དུ།_(6239), ཞལ་དུ(273); n དུ(11516), དུ།_(6239), ཞལ་དུ(273); ,D2701,17
བསྟན་བཅོས་ཐམས་ཅད་ལ་མཁས་པར་འགྱུར་རོ། །,#༼ཉི་ མ་,ཉི་མ་,ཉི་མ་,ཉི་མ་,ཉི་མ་བཞི་ཡིས་སངས་རྒྱས་དང་པྲ་ཛྙཱ་མཉམ་,K,,,,✓,,,,,c=d=n p 32.14%,c ཉི་མ(6125), །_།ཉི་མ(1039), ཉི་མ་གསུམ(94); p ; d ཉི་མ(6125), །_།ཉི་མ(1039), ཉི་མ་གསུམ(94); n ཉི་མ(6125), །_།ཉི་མ(1039), ཉི་མ་གསུམ(94); ,D2701,19
། །ཉི་མ་ཉི་མ་བཞི་ཡིས་སངས་རྒྱས་དང་པྲ་,#པྲཱཛྙཱ་,#ཛྙཱ་,#ཛྙཱ་,#ཛྙཱ་,མཉམ་པར་འགྱུར་རོལྔ་ཡིས་མ་བསླབས་པའི་ཆོས་,K,,,,✓,,,,,c=d=n p 32.14%,c ཛྙཱ(26); p ; d ཛྙཱ(26); n ཛྙཱ(26); ,D2701,20
བཞི་ཡིས་སངས་རྒྱས་དང་པྲ་ཛྙཱ་མཉམ་པར་འགྱུར་,རོ,རོ,རོ,#རོ༼རོ,ལྔ་ཡིས་མ་བསླབས་པའི་ཆོས་ལ་མཁས་པར་འགྱུར་,K,,,,✓,,,,,c=p=d n 14.29%,c རོ(11376), རོ།_།(60571), འགྱུར་རོ(2600), འགྱུར་རོ།_།(48576), འགྱུར་རོ།_།ལྔ(56); p རོ(11376), རོ།_།(60571), འགྱུར་རོ(2600), འགྱུར་རོ།_།(48576), འགྱུར་རོ།_།ལྔ(56); d རོ(11376), རོ།_།(60571), འགྱུར་རོ(2600), འགྱུར་རོ།_།(48576), འགྱུར་རོ།_།ལྔ(56); n ; ,D2701,21
འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ་ཞེས་བྱ་,ཞེས་ བྱ་ #༼བ་,,,,ཀུན་གྱི་ཐུན་མོང་མ་ཡིན་པ་སློབ་དཔོན་ཀླུ་,K,,,,✓,,,,,c=d=n p 32.14%,c (1), འཕེལ་བ(1664), ཞེས་བྱ་བ(535); p ; d (1), འཕེལ་བ(1664), ཞེས་བྱ་བ(535); n (1), འཕེལ་བ(1664), ཞེས་བྱ་བ(535); ,D2701,26
པ་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཞབས་ཀྱིས་མཛད་པ་རྫོགས་,#སོསྷོ,སོ,སོ,སོ,,K,,,,✓,,,,,c=d=n p 32.14%,c སོ(40406), རྫོགས་སོ(120); p ; d སོ(40406), རྫོགས་སོ(120); n སོ(40406), རྫོགས་སོ(120); ,D2701,27
པ་སྟོང་ཟིན་པར་འགྱུར་རོ། །ཉི་མ་གཉིས་,སྒྲུབ་,བསྒྲུབས་,བསྒྲུབས་,སྒྲུབས་,ན་བསྟན་བཅོས་ཐམས་ཅད་ལ་མཁས་པར་འགྱུར་རོ,K,,,,,⟶,,,,c=d p n 25.00%,c བསྒྲུབས(107), བསྒྲུབས་ན(170); p སྒྲུབ(176); d བསྒྲུབས(107), བསྒྲུབས་ན(170); n སྒྲུབས(15); ,D2701,18
། །ཡོན་ཏན་སྨོན་འཇུག་སེམས་དང་ལྡན། །སེམས་,སྐྱེད་,བསྐྱེད་,བསྐྱེད་,སྐྱེད་,དེ་དང་ལྡན་པ་ཡི། །སྐྱེས་བུ་དེ་ནི་,K,,,,,≠,,,,c=d p=n 17.86%,c བསྐྱེད(673), བསྐྱེད་དེ(671), སེམས་བསྐྱེད(64), སེམས་བསྐྱེད་དེ(73); p སྐྱེད(412), སྐྱེད་དེ(198), སེམས་སྐྱེད(380); d བསྐྱེད(673), བསྐྱེད་དེ(671), སེམས་བསྐྱེད(64), སེམས་བསྐྱེད་དེ(73); n སྐྱེད(412), སྐྱེད་དེ(198), སེམས་སྐྱེད(380); ,D2701,25
བློ་གྲོས་འཕེལ་བ་ཞེས་བྱ་བ། བཅོམ་ལྡན་འདས་,འཇམ་པ འི་,འཇམ་པ འི་,འཇམ་པ འི་,འཇམ་དཔལ་,མགོན་ལ་ཕྱག་འཚལ་ལོ། །ཤེས་རབ་འཕེལ་བར་,K,,,,,,≡,,,c=p=d n 14.29%,c འཇམ་པའི(358); p འཇམ་པའི(358); d འཇམ་པའི(358); n འཇམ་དཔལ(8184), བཅོམ་ལྡན་འདས་འཇམ་དཔལ(82); ,D2701,3
ཞིམ་པོའི་ཆུས་ཆག་ཆག་བཏབ་ལ། མཎྜལ་ཁྲུ་,གང་པ་ གཅིག་,གང་བ་ ཅིག་,གང་བ་ ཅིག་,གང་པ་ ཞིག་,བྱས་ཏེ། དེའི་དབུས་སུ་པདྨ་འདབ་མ་བརྒྱད་,K,,,,,,≡,,,c=d p n 25.00%,c ; p ; d ; n ; ,D2701,4
ཤེས་རབ་འཕེལ་བར་བྱེད་པའི་རྫས། དབང་པོ་,ལག་པ,ལག་པ,ལག་པ,ལག་ ན, །གླ་རྩི། གི་ཝང་། སྤང་རྒྱན་དཀར་,K,,,,,,≡,,,c=p=d n 14.29%,c ལག་པ(4490); p ལག་པ(4490); d ལག་པ(4490); n ལག་ན(4066); ,D2701,5
དབྱངས་ཅན་མ་གཉིས་ཞལ་སྦྱོར་གྱི་ཙ་ཀ་ལི་,གཅིག་,ཅིག་,ཅིག་,གཅིག་,བཞུགས་པར་བྱའོ། །དེ་ནས་ཨོཾ་སྭ་བྷཱ་བ་བི་ཤུདྡྡྷཿསརྦ་དྷ་རྨཱཿསྭ་བྷཱ་བ་བི་ཤུདྡྷོཉ྄ཧཾ་གི་སྔགས་ཀྱིས་ཆོས་ཐམས་ཅད་སྟོང་,K,,,,,,≡,,,c=d p=n 17.86%,c ཅིག(11520), ཅིག་བཞུགས་པ(70); p གཅིག(620); d ཅིག(11520), ཅིག་བཞུགས་པ(70); n གཅིག(620); ,D2701,7
དེའི་དང་ལས་པདྨ་དམར་པོ་འདབ་མ་བརྒྱད་པ་,གཅིག་,ཅིག་,ཅིག་,ཞིག་,བསམ། དེའི་སྟེང་དུ་ཨ་ལས་ཟླ་བའི་དཀྱིལ་,K,,,,,,≡,,,c=d p n 25.00%,c ཅིག(11520); p གཅིག(620); d ཅིག(11520); n ཞིག(798); ,D2701,9
སྟེང་དུ་དྷཱིཿསེར་པོ་སེར་པོ་གུར་གུམ་གྱི་མདོག་ཅན་,གཅིག་,ཅིག་,ཅིག་,ཞིག་,བསམ། དེ་ཡོངས་སུ་གྱུར་པ་ལས་བདག་ཉིད་,K,,,,,,≡,,,c=d p n 25.00%,c ཅིག(11520); p གཅིག(620), ཅན་གཅིག(367); d ཅིག(11520); n ཞིག(798), ཅན་ཞིག(224); ,D2701,11
ནི་དཀར་ལ་སྦོམ་པར་འགྱུར། །ཉམས་སྟོབས་ལུས་,གཟུངས་,ཟུངས་,ཟུངས་,ཟུང་,འཕེལ་བར་འགྱུར། །ལྷ་འདྲེ་རྣམས་ཀྱང་སྟོང་གྲོགས་,K,,,,,,≡,,,c=d p n 25.00%,c ཟུངས(62); p གཟུངས(261); d ཟུངས(62); n ཟུང(1); ,D2701,24
སློབ་དཔོན་ཀླུ་སྒྲུབ་ཞབས་ཀྱིས་མཛད་པ་རྫོགས་སོ,,,,,,K,,,,,,,[ ],,c=p=d=n 3.57%,c (1), །།(216); p (1), །།(216); d (1), །།(216); n (1), །།(216); ,D2701,28
