Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
། སློབ་དཔོན་ཀླུ་གྲུབ་ཀྱིས་མཛད་པ་རྫོགས་སོ,།_།་  #ཏཾ,,,,། །སློབ་དཔོན་ཀླུ་གྲུབ། བླ་མ་རྡོ་རྗེ་,K,,,,✓,,,,,p d 66.67%,p ; d (1), སོ(40406), །_།།_།(1); ,N4839,9
། བླ་མ་འཇམ་དབྱངས་ཤཱཀྱ་སེང་གེ། གོན་,#བྷུ་ #དྷ་པ་,,#འགྱོ་ #བྷུདྷ་ ཕ་,,ལ། དེ་ལ་བདག་མི་སྐྱོད་རྡོ་རྗེས་ཞུས་,K,,,,✓,,,,,p d 66.67%,p ; d ; ,N4839,10
བཟུང་བ་དང་གསུམ། ཐུན་འཚམས་སུ་གཏོར་མ་,བཏང་,,གཏང་,,ཞིང་གསོལ་བ་གདབ་པ་དང་བཞི། ལས་ལ་,K,,,,,⟶,,,,p d 66.67%,p བཏང(4), མ་བཏང(886), བཏང་ཞིང(67); d གཏང(4), མ་གཏང(55); ,N4839,2
ཙ་ཀ་ལི་གསུམ་ལས། གནོད་སྦྱིན་མ་གསུམ་,བསྒོམ་པ་,,བསྒོམས་པ་,,ནི། དབུས་ཀྱི་གཙོ་མོ་སྐུ་མདོག་མཐིང་ནག,K,,,,,⟶,,,,p d 66.67%,p བསྒོམ་པ(245), བསྒོམ་པ་ནི(284); d བསྒོམས་པ(88); ,N4839,5
པོ་བརྟེན་བཅའ་བ་དང་ཅིག། ལྷ་སྒོམ་ཞིང་,སྙེན་པ་,,བསྙེན་པ་,,བྱེད་པ་དང་གཉིས། བློ་རྡོ་བཟུང་བ་དང་,K,,,,,≠,,,,p d 66.67%,p ; d བསྙེན་པ(559); ,N4839,1
སྐྲ་ལི་བ་ལ་རིན་པོ་ཆེ་དང་རུས་པའི་,རྒྱན་,,བརྒྱན་,,གྱིས་བརྒྱན་པའོ། །ཞབས་གཡས་བསྐུམ་པ། གཡོན་,K,,,,,≠,,,,p d 66.67%,p རྒྱན(93), རྒྱན་གྱིས(827); d བརྒྱན(1645); ,N4839,6
བསྙེན་བསྐུར་བྱེད་པ་དང་། ལོ་ཏོག་རྩས་མ་,སྔ་བ་,,རྔ་བ་,,དང་། འབྲུའི་ཆར་འབབ་པ་དང་། རིན་པོ་,K,,,,,,≡,,,p d 66.67%,p ; d ; ,N4839,7
པོ་བྲི་ཟེར་བ་ཡང་སྣང་ངོ་།། །།ཡང་རིགས་,ཅིག་,,གཅིག་,,ལ། དབང་དུ་བྱ་བའི་འཁོར་ལོ་ནི། ,K,,,,,,≡,,,p d 66.67%,p ཅིག(11520), ཅིག་ལ(54); d གཅིག(620), གཅིག་ལ(79), རིགས་གཅིག(64); ,N4839,11
། སྤྱན་ཞལ་འཛུམ་པ་དང་བཅས་པ། དབུས་,,,,,སྐྲ་ལྕང་ལོར་འཁྱིལ་བ། རིན་པོ་ཆེའི་བརྒྱན་,K,,,,,,,[ ],,p=d 33.33%,p (1), འཁྱིལ་བ(147); d (1), འཁྱིལ་བ(147); ,N4839,3
ཆུབ་གྭ་པ་ལ། བདག་གཞན་ཐམས་ཅད་ཀྱི་,,,,,དབུལ་ཞིང་འཕོངས་པའི་སྡུག་བསྔལ་དང་བྲལ་ནས། ,K,,,,,,,[ ],,p=d 33.33%,p (1), སྡུག(109); d (1), སྡུག(109); ,N4839,4
མི་བྱ། མོ་མཚན་ལ་ཆེད་དུ་མི་བལྟའོ,,,,,། དུས་རྒྱུན་དུ་ཡི་དམ་དུ་བྱ་བ་ནི,K,,,,,,,[ ],,p=d 33.33%,p (1), ཡི(8322), དུ་ཡི(180); d (1), ཡི(8322), དུ་ཡི(180); ,N4839,8
རོ།། །།དགེ་ཞིང་བཀྲ་ཤིས་པར་གྱུར་ཅིག།། །། ,,,,,,K,,,,,,,[ ],,p=d 33.33%,p (1), །།_།།(7586); d (1), །།_།།(7586); ,N4839,12
