Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
#ཏྲ,,#ཏྲཾ,#ཏྲ, །བོད་སྐད་དུ། དཀོན་མཆོག་གསུམ་གྱི་བསྟོད་,,K,,,✓,,,,,p=n d 66.67%,p ཏྲ(429); d ཏྲཾ(32); n ཏྲ(429); ,T1146,1
ཆོས་ཀྱི་དབྱིངས། །སྒྲུབ་པའི་འཕགས་ལམ་བརྒྱད། །,སྟོན་པ འི་,,བསྟན་པ འི་,སྟོན་པ འི་,གསུང་རབ་ལ། །གུས་པས་ཕྱག་འཚལ་ལོ། །,K,,,,,⟶,,,,p=n d 66.67%,p སྟོན་པའི(1817), །_།སྟོན་པའི(148); d བསྟན་པའི(3139), །_།བསྟན་པའི(79); n སྟོན་པའི(1817), །_།སྟོན་པའི(148); ,T1146,2
སློབ་དཔོན་དབྱིག་གཉེན་གྱིས་མཛད་པ་རྫོགས་སོ།། །།,,,,,,K,,,,,,,[ ],,p=d=n 33.33%,p (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); d (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); n (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); ,T1146,3
