Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ལ་མཛད།།བསོད་ནམས་ཚོགས་ཚད་མེད་པ་སོག་,སོགས་,,,#སོག་,དགོས་པའི་ཕྱིར།།ཚོགས་ཀྱི་བདག་པོ་བསྒྲུབ་པར་,K,,,nw✓,,,,,,p n 100.00%,p སོགས(1011); n སོག(3); ,N5000,1
ཐབས་སློབ་དཔོན་དི་བཾ་ཀ་ར་ཛྙ་ནས་མཛད་,།།_ རྫོགས་ སོ །།_ #མངྒཱ་ #ལཾ །_ #ཤུབྷཾ,,,།། རྫོགས་ སོ,མངྒཱ་ལཾ།བཀྲ་ཤིས།ཤུབྷཾ།།,K,,,,✓,,,,,p n 100.00%,p ; n ; ,N5000,2
