ཨང།,ཆོས་མཚན།,,སྡེ་ཚན། སྤྱིའི་དེབ་གྲངས།,མཛད་པ་པོ།,དཔེ་བསྡུར་གྱི་ཤོག་གྲངས།,པེ་ཅིང་ཤོག་གྲངས།,སྡེ་དགེའི་ཤོག་གྲངས།,ཆོས་ཚན་ཨང།,པེ་ཅིན་བསྡོམས།,Peking pgs.,548,Peking vol.,1,,པོད་དང་པོའི་བསྡོམས།,གཉིས་པ་དང་གསུམ་པའི་བསྡོམས།,སྡེ་དགེའི་ཤོག་གྲངས།,Derge pgs.,26819,Derge vol.,45,,,,,,,,,,
68,སྒྲོན་མ་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་བཤད་པ།,5-2,རྒྱུད། ཧ།15,ཟླ་བ་གྲགས་པས་མཛད།,829-1308,ས1བ-233ན,ཧ1བ-201བ,,,,,,,,401,,ཧ,1,b,201,b,,,,,,,,,,
69,སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།,5-3,རྒྱུད། ཧ།15,སློབ་དཔོན་ཟླ་བ་གྲགས་པ།,1335-1341,ས233ན-235བ,ཧ201བ-203བ,,,,,,,,5,,ཧ,201,b,203,b,,,,,,,,,,
70,སྒྲོལ་མ་གསལ་བར་བྱེད་པའི་དཀའ་བ་བཏུས་པའི་འགྲེལ་པ་ཞེས་བྱ་བ།,4-1,རྒྱུད། ཨ16,ལེགས་ལྡན་བྱེད།,,ཧ242བ-257ན,ཨ201བ-212ན,,,,,,,,24,,ཨ,201,b,212,a,,,,,,,,,,
71,སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དགོངས་པ་རབ་གསལ་ཞེས་བྱ་བའི་བཤད་པའི་ཊཱི་ཀཱ།,4-10,རྒྱུད། ཀི། དང་ ཁི།17,ལེགས་ལྡན་འབྱེད།,563-1272དང་3-368,ཨ1བ1-348ན༨ དང ཀི1བ1-61བ༥,ཀི1བ1-292ན7དང1བ1-155ན5,,,,,,,,584,,ཀི,1,b,292,a,ཁི,1,b,155,a,,,,,
72,སྒྲོལ་མ་གསལ་བ་ཞེས་བྱ་བའི་འགྲེལ་བཤད།,2-6,རྒྱུད། ཁི།17,འཕགས་པ་ལྷ།,403-527,ཀི61བ-245ན,ཁི155ན-205ན,,,,,,,,101,,ཁི,155,a,205,a,,,,,,,,,,
73,སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,1-36,རྒྱུད། ངི།18,སློབ་དཔོན་ཀླུ་སྒྲུབ།,3-25,གི1བ-12ན,ངི1བ-11ན,,,,,,,,22,,ངི,1,b,11,a,,,,,,,,,,
74,རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་གསང་བ་འདུས་པའི་བསྐྱེད་པའི་རིམ་པ་བསྒོམ་པའི་ཐབས་མདོ་དང་བསྲེས་པ་ཞེས་བྱ་བ།,1-37,རྒྱུད། ངི18,སློབ་དཔོན་ཀླུ་སྒྲུབ།,28-39,གི12ན-17ན,ངི11ན-15བ,,,,,,,,8,,ངི,11,a,15,b,,,,,,,,,,
75,དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ།,1-38,རྒྱུད། ངི18,སློབ་དཔོན་ཀླུ་སྒྲུབ།,41-92,གི17ན-39བ,ངི15བ-35ན,,,,,,,,42,,ངི,15,b,35,a,,,,,,,,,,
76,དབང་བཞི་པའི་རབ་ཏུ་བྱེད་པ།,1-39,རྒྱུད། ངི18,སློབ་དཔོན་ཀླུ་སྒྲུབ།,98-106,གི39བ-45བ,ངི35ན-38ན,,,,,,,,7,,ངི,35,a,38,a,,,,,,,,,,
77,བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ་ཞེས་བྱ་བ།,1-40,རྒྱུད། ངི18,འཕགས་པ་ཀླུ་སྒྲུབ།,108-119,གི42བ-48ན,ངི38ན-42བ,,,,,,,,8,,ངི,38,a,42,b,,,,,,,,,,
78,བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ།,1-41,རྒྱུད། ངི18,སློབ་དཔོན་ཀླུ་སྒྲུབ།,121-128,གི48ན-50བ,ངི42བ-45ན,,,,,,,,8,,ངི,42,b,45,a,,,,,,,,,,
79,རིམ་པ་ལྔ་པ།,1-43,རྒྱུད། ངི18,སློབ་དཔོན་ཀླུ་སྒྲུབ།,129-158,གི50བ-64ན,ངི45ན-57ན,,,,,,,,25,,ངི,45,a,57,a,,,,,,,,,,
80,སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,2-7,རྒྱུད། ངི18,འཕགས་པ་ལྷ།,161-283,གི64ན-121བ,ངི57ན-106བ,,,,,,,,98,,ངི,57,a,106,b,,,,,,,,,,
81,སེམས་ཀྱི་སྒྲིབ་པ་རྣམ་པར་སྦྱོང་བ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,2-8,རྒྱུད། ངི18,འཕགས་པ་ལྷ།,291-304,གི121བ-127ན,ངི106བ-112ན,,,,,,,,14,,ངི,106,b,112,a,,,,,,,,,,
82,བདག་བྱིན་གྱིས་བརླབ་པའི་རིམ་པ་རྣམ་པར་དབྱེ་བ།,2-9,རྒྱུད། ངི18,འཕགས་པ་ལྷ།,306-312,གི127ན-130ན,ངི112ན-114བ,,,,,,,,4,,ངི,112,a,114,b,,,,,,,,,,
83,མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,2-10,རྒྱུད། ངི18,འཕགས་པ་ལྷ།,314-320,གི130ན-132བ,ངི114བ-117ན,,,,,,,,8,,ངི,114,b,117,a,,,,,,,,,,
84,རོ་བསྲེག་པའི་ཆོ་ག,2-11,རྒྱུད། ངི18,འཕགས་པ་ལྷ།,322-326,གི132བ-134བ,ངི117ན-118བ,,,,,,,,2,,ངི,117,a,118,b,,,,,,,,,,
85,དཔལ་གསང་བ་འདུས་པའི་རྫོགས་རིམ་མཐར་ཕྱིན་པ།,2-12,རྒྱུད། ངི18,སློབ་དཔོན་ཨཱརྱ་དེ་བ།,328-335,གི134བ-137བ,ངི118བ-121ན,,,,,,,,8,,ངི,118,b,121,a,,,,,,,,,,
86,འདུས་པའི་སྒྲུབ་པའི་ཐབས་རྣམ་པར་གཞག་པ།,1-44,རྒྱུད། ངི18,སློབ་དཔོན་ཀླུའི་བློ།,337-361,གི137བ6-149ན4,ངི121ན6-131ན5,,,,,,,,21,,ངི,121,a,131,a,,,,,,,,,,
87,རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,5-4,རྒྱུད། ངི18,སློབ་དཔོན་ཟླ་བ་གྲགས་པ།,537-558,གི168བ-178བ,ངི195བ-204བ,,,,,,,,19,,ངི,195,b,204,b,,,,,,,,,,
88,ལས་ཀྱི་མཐའ་རྣམ་པར་འབྱེད་པ།,1-45,རྒྱུད། ངི18,སློབ་དཔོན་ཀླུའི་བློ།,404-408,གི165ན6-166བ༤,ངི145བ3-147ན1,,,,,,,,6,,ངི,145,b,147,a,,,,,,,,,,
89,རིམ་པ་ཁོངས་སུ་བསྡུ་བའི་མན་ངག་ངེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,1-46,རྒྱུད། ངི18,སློབ་དཔོན་ཀླུའི་བློ།,409-414,གི166བ4-168བ༢,ངི147ན1-148བ4,,,,,,,,2,,ངི,147,a,148,b,,,,,,,,,,
90,བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,5-5,རྒྱུད། ངི18,སློབ་དཔོན་ཟླ་བ་གྲགས་པ།,573-577,གི182བ-184ན,ངི209ན-210ན,,,,,,,,3,,ངི,209,a,210,a,,,,,,,,,,
91,གསང་བ་འདུས་པའི་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ།,5-6,རྒྱུད། ངི18,སློབ་དཔོན་ཟླ་བ་གྲགས་པ།,578-634,གི184ན-210ན,ངི210བ-232བ,,,,,,,,45,,ངི,210,b,232,b,,,,,,,,,,
92,རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་གསང་བ་འདུས་པའི་གཏོར་མའི་ཆོ་ག་ཞེས་པ།,,རྒྱུད། ངི18,ཤཱནྟ་དེ་བ།,769-772,གི266ན-266བ,ངི278ན-279ན,,,,,,,,3,,ངི,278,a,279,a,,,,,,,,,,
93,དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ།,17-17,རྒྱུད། དི།21,མར་མེ་མཛད་བཟང་པོ།,1030-1073,ཏི83ན6-104བ2,དི69ན4-87ན3,,,,,,,,37,,དི,69,a,87,a,,,,,,,,,,
94,དཔལ་གསང་བ་འདུས་པ་འཇིག་རྟེན་དབང་ཕྱུག་གི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།,17-18,རྒྱུད། པི།22,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,1175-1202,ཐི263ན-277བ,པི230བ-231བ,,,,,,,,3,,པི,230,b,231,b,,,,,,,,,,
95,འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།,17-19,རྒྱུད། པི།22,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,1205-1209,ཐི277བ-279ན,པི231བ-233ན,,,,,,,,6,,པི,231,b,233,a,,,,,,,,,,
96,དཔལ་གསང་བ་འདུས་པའི་བསྟོད་པ།,17-20,རྒྱུད། པི།22,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,1210-1213,ཐི279ན-280ན,པི233ན-233བ,,,,,,,,0,,པི,233,a,233,b,,,,,,,,,,
97,སྲུང་བའི་འཁོར་ལོ་སྒྲུབ་པའི་ཐབས།,17-99,རྒྱུད། མི།24,མར་མེ་མཛད་བཟང་པོ།,107-110,པི47བ8-49ན5,མི38བ1-39བ2,,,,,,,,3,,མི,38,b,39,b,,,,,,,,,,
98,གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,17-21,རྒྱུད། མི24,དཔལ་མར་མེ་མཛད།,194-196,པི78བ-79བ,མི64བ-65ན,,,,,,,,4,,མི,64,b,65,a,,,,,,,,,,
99,གཤིན་རྗེ་གཤེད་རྣམ་པར་སྣང་མཛད་ཀྱི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ།,17-22,རྒྱུད། མི24,དཔལ་མར་མེ་མཛད།,197-199,པི79བ-80ན,མི65ན-66ན,,,,,,,,3,,མི,65,a,66,a,,,,,,,,,,
100,གཤིན་རྗེ་གཤེད་རིན་ཆེན་འབྱུང་ལྡན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,17-23,རྒྱུད། མི24,དཔལ་མར་མེ་མཛད།,200-203,པི80ན-81ན,མི66ན-66བ,,,,,,,,0,,མི,66,a,66,b,,,,,,,,,,
101,འོད་དཔག་ཏུ་མེད་པའི་སྙིང་པོ་འདོད་ཆགས་གཤིན་རྗེ་གཤེད་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།,17-24,རྒྱུད། མི24,དཔལ་མར་མེ་མཛད།,203-205,པི81ན-82ན,མི66བ-67ན,,,,,,,,4,,མི,66,b,67,a,,,,,,,,,,
102,གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་ནག་པོ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས།,17-25,རྒྱུད། མི24,དཔལ་མར་མེ་མཛད།,206-208,པི82ན-83ན,མི67ན-68ན,,,,,,,,3,,མི,67,a,68,a,,,,,,,,,,
103,རྡོ་རྗེ་སེམས་མ་བདེ་བའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,17-26,རྒྱུད། མི24,དཔལ་མར་མེ་མཛད།,209-211,པི83ན-83བ,མི68ན-68བ,,,,,,,,0,,མི,68,a,68,b,,,,,,,,,,
104,རྡོ་རྗེ་མཁའ་འགྲོ་མ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,17-27,རྒྱུད། མི24,དཔལ་མར་མེ་མཛད།,212-214,པི83བ-84བ,མི68བ-69ན,,,,,,,,4,,མི,68,b,69,a,,,,,,,,,,
105,རྡོ་རྗེ་བདེ་རྒྱས་དབྱངས་ཅན་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,17-29,རྒྱུད། མི24,དཔལ་མར་མེ་མཛད།,215-217,པི84བ4-85ན7,མི169ན6-70ན1,,,,,,,,3,,མི,169,a,170,a,,,,,,,,,,
106,ལས་ཀྱི་རྡོ་རྗེ་གཽ་རཱིའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,17-30,རྒྱུད། མི24,དཔལ་མར་མེ་མཛད།,218-220,པི85ན8-86ན4,མི70ན1-70བ3,,,,,,,,0,,མི,70,a,70,b,,,,,,,,,,
107,ཁྲོ་བོ་ཐོ་བ་གཤིན་རྗེ་གཤེད་ཀྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,17-32,རྒྱུད། མི24,དཔལ་མར་མེ་མཛད།,237-239,པི91ན-91བ,མི75ན-75བ,,,,,,,,0,,མི,75,a,75,b,,,,,,,,,,
108,དབྱུག་པ་གཤིན་རྗེ་གཤེད་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས།,17-100,རྒྱུད། མི24,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,240-242,པི91བ-92ན,མི75བ-76ན,,,,,,,,4,,མི,75,b,76,a,,,,,,,,,,
109,རལ་གྲི་གཤིན་རྗེ་གཤེད་གཏུམ་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,17-33,རྒྱུད། མི24,དཔལ་མར་མེ་མཛད།,243-245,པི92བ-93ན,མི76ན-76བ,,,,,,,,0,,མི,76,a,76,b,,,,,,,,,,
110,པདྨ་གཤིན་རྗེ་གཤེད་ཤེས་རབ་བདེ་བ་ཅན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,17-31,རྒྱུད། མི24,ཇོ་བོ་རྗེ།,246-248,པི93ན-93བ,མི76བ-77ན,,,,,,,,4,,མི,76,b,77,a,,,,,,,,,,
111,རྡོ་རྗེ་ཁྲོ་བོ་གཏུམ་པོ་ལྷ་ལྔ་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,1-48,རྒྱུད། ཛི25,འཕགས་པ་ཀླུ་སྒྲུབ།,1245-1260,བི80བ-88ན,ཛི64ན-70ན,,,,,,,,13,,ཛི,64,a,70,a,,,,,,,,,,
112,ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ་ཞེས་བྱ་བ།,1-49,རྒྱུད། ཛི25,འཕགས་པ་ཀླུ་སྒྲུབ།,1263-1273,བི88ན-93ན,ཛི70ན-74ན,,,,,,,,9,,ཛི,70,a,74,a,,,,,,,,,,
113,དེ་ཁོ་ན་ཉིད་སྒྲོན་མ་ཞེས་བྱ་བ།,1-50,རྒྱུད། ཛི25,དགེ་སློང་ཀླུ་སྒྲུབ།,1488-1539,བི183ན-209ན,ཛི147བ-168བ,,,,,,,,43,,ཛི,147,b,168,b,,,,,,,,,,
114,འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་པོ་ཅན་གྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཐམས་ཅད་རྫོགས་པ་ཞེས་བྱ་བ།,1-51,རྒྱུད། ཛི25,སློབ་དཔོན་ནཱ་གཱརྫུ་ན།,1545-1568,བི209ན-220ན,ཛི168བ-177ན,,,,,,,,20,,ཛི,168,b,177,a,,,,,,,,,,
115,སྔགས་ཀྱི་རྒྱན་གྱི་སྒྲུབ་ཐབས།,1-52,རྒྱུད། ཛི25,སློབ་དཔོན་ནཱ་གཱརྫུ་ན།,1571-1575,བི220ན-221བ,ཛི177ན-178བ,,,,,,,,2,,ཛི,177,a,178,b,,,,,,,,,,
116,རབ་ཏུ་གནས་པའི་རྒྱན།,1-53,རྒྱུད། ཛི25,དགེ་སློང་ནཱ་གཱརྫུ་ན།,1576-1579,བི221བ-223ན,ཛི178བ-179བ,,,,,,,,3,,ཛི,178,b,179,b,,,,,,,,,,
117,འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་ཅན་གྱི་སྒྲུབ་ཐབས་ཀྱི་མན་ངག་རྒྱ་ཆེར་བཤད་པའི་འགྲེལ་པ།,,རྒྱུད། ཛི25,ཀླུ་སྒྲུབ་སྙིང་པོ།,1627-1647,བི228ན-238བ,ཛི194ན-202ན,,,,,,,,17,,ཛི,194,a,202,a,,,,,,,,,,
118,ཕྱག་རྒྱ་བཞི་གཏན་ལ་དབབ་པ།,,རྒྱུད། ཝི26,ཀླུ་སྒྲུབ་སྙིང་པོ།,211-217,མི82ན-84བ,ཝི77ན-79བ,,,,,,,,4,,ཝི,77,a,79,b,,,,,,,,,,
119,དངོས་པོ་སྦྱོང་བ་ཞེས་བྱ་བ།,1-54,རྒྱུད། ཞི26,འཕགས་པ་ཀླུ་སྒྲུབ།,1284-1287,ཙི141ན-141བ,ཞི127བ-128ན,,,,,,,,4,,ཞི,127,b,128,a,,,,,,,,,,
120,ཚིགས་སུ་བཅད་པ་ཕྱེད་དང་ལྔ་ཞེས་བྱ་བ།,,རྒྱུད། ཞི 26,ཀླུ་སྒྲུབ་སྙིང་པོ།,1288-1300,ཙི141བ-146ན,ཞི128ན-133ན,,,,,,,,11,,ཞི,128,a,133,a,,,,,,,,,,
121,རྣམ་པར་མི་རྟོག་པའི་རབ་ཏུ་བྱེད་པ།,2-13,རྒྱུད། ཞི26,འཕགས་པ་ལྷ།,1302-1304,ཙི146ན-147ན,ཞི133ན-134ན,,,,,,,,3,,ཞི,133,a,134,a,,,,,,,,,,
122,འཁོར་བ་ལས་ཡིད་ངེས་པར་འབྱུང་བར་བྱེད་པ་ཞེས་བྱ་བའི་གླུ།,17-34,རྒྱུད། ཞི།26,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,1655-1659,ཙི267བ-269ན,ཞི253ན-254བ,,,,,,,,2,,ཞི,253,a,254,b,,,,,,,,,,
123,ཆོས་ཀྱི་དབྱིངས་ལྟ་བའི་གླུ།,17-35,རྒྱུད། ཞི།26,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,1661-1676,ཙི267བ-269ན,253ན-254བ,,,,,,,,2,,ཞི,253,a,254,b,,,,,,,,,,
124,མན་ངག་སྐུའི་སྒྲོན་མ།,8-1,རྒྱུད། ཞི།26,ཀ་མ་ལ་ཤཱི་ལ།,1678-1680,ཙི276ན4-276བ5,ཞི260བ5-261ན5,,,,,,,,4,,ཞི,260,b,261,a,,,,,,,,,,
125,ཐེག་པ་གསུང་གི་སྒྲོན་མ།,8-2,རྒྱུད། ཞི།,ཀ་མ་ལ་ཤཱི་ལ།,1681-1683,ཙི276བ6-277བ2,ཞི261ན5-261བ6,,,,,,,,0,,ཞི,261,a,261,b,,,,,,,,,,
126,ཡང་དག་ལྟ་བའི་སྒྲོན་མ།,8-3,རྒྱུད། ཞི།,ཀ་མ་ལ་ཤཱི་ལ།,1684-1686,ཙི277བ2-278བ1,ཞི261བ7-262ན5,,,,,,,,4,,ཞི,261,b,262,a,,,,,,,,,,
127,རིན་པོ་ཆེ་སྒྲོན་མ།,8-4,རྒྱུད། ཞི།,ཀ་མ་ལ་ཤཱི་ལ།,1687-1689,ཙི278ན2-278བ5,ཞི262ན1-262བ6,,,,,,,,0,,ཞི,262,a,262,b,,,,,,,,,,
128,མཉམ་ཉིད་གཞིའི་སྒྲོན་མ།,8-5,རྒྱུད། ཞི།,ཀ་མ་ལ་ཤཱི་ལ།,1690-1692,ཙི278བ5-279བ5,ཞི262བ6-263བ3,,,,,,,,3,,ཞི,262,b,263,b,,,,,,,,,,
129,མཐར་ཐུག་འབྲས་བུའི་སྒྲོན་མ་ཞེས་བྱ་བ།,8-6,རྒྱུད། ཞི26,ཀ་མ་ལ་ཤཱི་ལ།,1694-1695,ཙི279བ-280ན,ཞི263བ-263བ,,,,,,,,1,,ཞི,263,b,263,b,,,,,,,,,,
130,བྱང་ཆུབ་སྤྱོད་པའི་སྒྲོན་མ་ཞེས་བྱ་བ།,8-7,རྒྱུད། ཞི26,ཀ་མ་ལ་ཤཱི་ལ།,1696-1698,ཙི280ན-280བ,ཞི263བ-264བ,,,,,,,,3,,ཞི,263,b,264,b,,,,,,,,,,
131,རྣལ་འབྱོར་ལམ་གྱི་སྒྲོན་མ་ཞེས་བྱ་བ།,8-8,རྒྱུད། ཞི26,ཀ་མ་ལ་ཤཱི་ལ།,1699-1701,ཙི280བ-281བ,ཞི264བ-265ན,,,,,,,,4,,ཞི,264,b,265,a,,,,,,,,,,
132,གསང་བ་ཐུགས་ཀྱི་སྒྲོན་མ་ཞེས་བྱ་བ།,8-9,རྒྱུད། ཞི26,ཀ་མ་ལ་ཤཱི་ལ།,1702-1704,ཙི281བ-282བ,ཞི265ན-265བ,,,,,,,,0,,ཞི,265,a,265,b,,,,,,,,,,
133,མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།,8-10,རྒྱུད། ཞི26,ཀ་མ་ལ་ཤཱི་ལ།,1705-1707,ཙི282བ-283ན,ཞི265བ-266བ,,,,,,,,3,,ཞི,265,b,266,b,,,,,,,,,,
134,དེ་ཁོ་ན་ཉིད་ཕྱག་རྒྱ་ཆེན་པོ་ཡི་གེ་མེད་པའི་མན་ངག,8-11,རྒྱུད། ཞི26,ཀ་མ་ལ་ཤཱི་ལ།,1708-1711,ཙི283ན-284བ,ཞི266བ-267བ,,,,,,,,3,,ཞི,266,b,267,b,,,,,,,,,,
135,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྒྲུབ་ཐབས།,8-12,རྒྱུད། ཞི26,ཀ་མ་ལ་ཤཱི་ལ།,1712-1714,ཙི284བ-285ན,ཞི267བ-268ན,,,,,,,,4,,ཞི,267,b,268,a,,,,,,,,,,
136,རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,8-13,རྒྱུད། ཞི26,ཀ་མ་ལ་ཤཱི་ལ།,1715-1718,ཙི285ན-286བ,ཞི268ན-269ན,,,,,,,,3,,ཞི,268,a,269,a,,,,,,,,,,
137,རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་ཐབས།,8-14,རྒྱུད། ཞི26,ཀ་མ་ལ་ཤཱི་ལ།,1719-1721,ཙི286བ-287ན,ཞི269ན-269བ,,,,,,,,0,,ཞི,269,a,269,b,,,,,,,,,,
138,འཇམ་པ་ཁྲོ་བོར་སྒྲུབ་པ།,8-15,རྒྱུད། ཞི26,ཀ་མ་ལ་ཤཱི་ལ།,1722-1219,ཙི287ན-288ན,ཞི269བ-270ན,,,,,,,,4,,ཞི,269,b,270,a,,,,,,,,,,
139,གོ་བ་བྱེད་པ་སྙིང་པོ་བརྒྱ་པ།,2-14,རྒྱུད། ཞི26,སློབ་དཔོན་ཨཱརྱ་དེ་བ།,1754-1766,ཕུ152ན-157བ,ཞི278བ-283ན,,,,,,,,12,,ཞི,278,b,283,a,,,,,,,,,,
140,ལྷན་ཅིག་སྐྱེས་པའི་གླུ།,,རྒྱུད། ཟི།27,ཤཱནྟ་དེ་བ།,3-6,ཚི2བ-2བ,ཟི2ན-2བ,,,,,,,,0,,ཟི,2,a,2,b,,,,,,,,,,
141,ཀླུ་སྒྲུབ་ཀྱི་གླུ།,1-139,རྒྱུད། ཟི།27,སློབ་དཔོན་ཀླུ་སྒྲུབ།,70-71,ཚི12ན3-12ན6,ཟི10ན3-10ན6,,,,,,,,1,,ཟི,10,a,10,a,,,,,,,,,,
142,དཱི་པཾ་ཀཱ་ར་ཤྲཱི་ཛྙཱ་ནའི་ཆོས་ཀྱི་གླུ།,17-101,རྒྱུད། ཟི།27,དཱི་པཾ་ཀ་ར།,72-73,ཚི12བ2-12བ6,ཟི10ན6-10བ2,,,,,,,,0,,ཟི,10,a,10,b,,,,,,,,,,
143,རང་བཞིན་གྲུབ་པ་མེད་པའི་གཞིའི་མན་ངག་ཅེས་བྱ་བ།,1-55,རྒྱུད། ཟི27,སློབ་དཔོན་ཀླུ་སྒྲུབ།,94-96,ཚི30ན-30བ,ཟི14ན-14བ,,,,,,,,0,,ཟི,14,a,14,b,,,,,,,,,,
144,གྲུབ་ཐོབ་ལྔ་བཅུའི་རྟོགས་པ་བརྗོད་པ་ཐིག་ལེ་འོད་ཀྱི་ཕྲེང་བ་ཞེས་བྱ་བ།,,རྒྱུད། ཟི27,ཨཱརྱ་དེ་བ་སོགས།,341-350,ཚི90ན-94ན,ཟི71བ-74ན,,,,,,,,8,,ཟི,71,b,74,a,,,,,,,,,,
3,རྔོན་པ་བ་ཆེན་པོས་ཀ་མ་ལ་ཤཱི་ལ་ལ་གནད་ཀྱི་གདམས་པ་བསྟན་པ།,,རྒྱུད། ཟི 27,རྔོན་པ་བ་ཆེན་པོ།,374-378,ཚི102ན-103བ,ཟི81ན-82ན,,,,,,,,3,,ཟི,81,a,82,a,,,,,,,,,,
145,ཉམས་ཀྱི་མན་ངག་ཐིག་ལེ་གསེར་གྱི་ཕྲེང་བ་ཞེས་བྱ་བ།,,རྒྱུད། ཟི27,སློབ་དཔོན་ཀླུ་སྒྲུབ་སོགས།,382-390,ཚི104བ-108ན,ཟི83ན-85བ,,,,,,,,4,,ཟི,83,a,85,b,,,,,,,,,,
146,དུག་ལྔ་སྦས་པའི་ལམ་མཆོག་ཏུ་གསང་བ་བསམ་གྱིས་མི་ཁྱབ་པ་ཞེས་བྱ་བ།,2-15,རྒྱུད། ཟི27,སློབ་དཔོན་འཕགས་པ་ལྷ།,524-532,ཚི162བ-166བ,ཟི129བ-132བ,,,,,,,,7,,ཟི,129,b,132,b,,,,,,,,,,
147,ཏིང་ངེ་འཛིན་ཚོགས་ཀྱི་ལེའུ།,17-36,རྒྱུད། ཟི།27,དཔལ་མར་མེ་མཛད།,542-544,ཚི169ན-169བ,ཟི134བ-135ན,,,,,,,,4,,ཟི,134,b,135,a,,,,,,,,,,
148,འཇིག་རྟེན་ལས་འདས་པའི་ཡན་ལག་བདུན་པའི་ཆོ་ག,17-37,རྒྱུད། ཟི།27,དཔལ་མར་མེ་མཛད།,545-547,ཚི169བ-170ན,ཟི135ན-135བ,,,,,,,,0,,ཟི,135,a,135,b,,,,,,,,,,
149,དབང་གི་རིམ་པ་བསྟན་པ་ཞེས་བྱ་བ།,,རྒྱུད། ཟི27,རྗེ་བཙུན་ཀླུ་སྒྲུབ།,609-614,འདི་མེད།,ཟི153ན-155ན,,,,,,,,5,,ཟི,153,a,155,a,,,,,,,,,,
150,ལྟུང་བ་བཅོ་ལྔ་པ།,1-140,རྒྱུད། ཟི།27,སློབ་དཔོན་ཀླུ་སྒྲུབ།,688-689,ཚི220བ3-221ན5,ཟི179བ5-180ན3,,,,,,,,4,,ཟི,179,b,180,a,,,,,,,,,,
151,ཡན་ལག་གི་ཉེས་པ་བདུན་པ།,1-141,རྒྱུད། ཟི།27,སློབ་དཔོན་ཀླུ་སྒྲུབ།,690-691,ཚི221ན8-221བ༢,ཟི180ན6-180བ1,,,,,,,,0,,ཟི,180,a,180,b,,,,,,,,,,
