ཨང།,ཆོས་མཚན།,,སྡེ་ཚན། སྤྱིའི་དེབ་གྲངས།,མཛད་པ་པོ།,དཔེ་བསྡུར་གྱི་ཤོག་གྲངས།,པེ་ཅིང་ཤོག་གྲངས།,སྡེ་དགེའི་ཤོག་གྲངས།,ཆོས་ཚན་ཨང།,པེ་ཅིན་བསྡོམས།,Peking pgs.,548,Peking vol.,1,,པོད་དང་པོའི་བསྡོམས།,གཉིས་པ་དང་གསུམ་པའི་བསྡོམས།,སྡེ་དགེའི་ཤོག་གྲངས།,Derge pgs.,26819,Derge vol.,45,,,,,,,,,,
19,ཕྱག་འཚལ་བའི་བསྟོད་པ་ཞེས་བྱ་བ།,1-22,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,258-260,ཀ96ན-97བ,ཀ83ན-83བ,28,,,,,,,0,,ཀ,83,a,83,b,,,,,,,,,,
20,དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ།,1-23,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,261-263,ཀ97ན-97བ,ཀ83ན-84བ,29,,,,,,,2,,ཀ,83,a,84,b,,,,,,,,,,
21,དཀོན་མཆོག་གསུམ་གྱི་བསྟོད་པ།,10-1,བསྟོད་ཚོགས་ཀ1,དབྱིག་གཉེན།,344-345,ཀ128བ-129ན,ཀ109བ-110ན,38,,,,,,,4,,ཀ,109,b,110,a,,,,,,,,,,
22,སྤེལ་མར་བསྟོད་པ་ཞེས་བྱ་བ།,11-1,བསྟོད་ཚོགས་ཀ1,ཕྱོགས་གླང་དང་།,532-562,ཀ214ན-228ན,ཀ181ན-193བ,42,,,,,,,24,,ཀ,181,a,193,b,,,,,,,,,,
23,ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།,11-2,བསྟོད་ཚོགས་ཀ1,ཕྱོགས་ཀྱི་གླང་པོ།,589-595,ཀ234ན-237ན,ཀ200བ-203ན,48,,,,,,,8,,ཀ,200,b,203,a,,,,,,,,,,
24,ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ།,11-3,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཕྱོགས་ཀྱི་གླང་པོ།,597-599,ཀ237ན-237བ,ཀ203ན-203བ,49,,,,,,,0,,ཀ,203,a,203,b,,,,,,,,,,
25,སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,12-1,བསྟོད་ཚོགས་ཀ1,དཔལ་ལྡན་ཆོས་ཀྱི་གྲགས་པ།,600-602,ཀ237བ-238བ,ཀ203བ-204ན,50,,,,,,,4,,ཀ,203,b,204,a,,,,,,,,,,
26,བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་དཔལ་རྡོ་རྗེ་འཛིན་གྱི་དབྱངས་ཀྱི་རྒྱ་ཆེར་བཤད་པ།,7-1,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཞི་བ་འཚོ།,677-691,ཀ270བ-277བ,ཀ231བ-237ན,55,,,,,,,14,,ཀ,231,b,237,a,,,,,,,,,,
27,དེ་བཞིན་གཤེགས་པ་བརྒྱད་ལ་བསྟོད་པ།,7-2,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཞི་བ་འཚོ།,699-702,ཀ278བ-279བ,ཀ238ན-239ན,58,,,,,,,3,,ཀ,238,a,239,a,,,,,,,,,,
28,ཨེ་ཀ་ནཱ་ཐའི་དོན་འགྲེལ།,11-4,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཕྱོགས་ཀྱི་གླང་པོ།,980-782,ཀ295བ-296ན,འདི་མེད།,73,2,ཀ,295,b,296,a,,,,,,,,,,,,,,,,,
1,རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།,,རྒྱུད། ང 3,དྷརྨྨཱ་ཀཱིརྟི།,609-818,ཙ349ན-444ན,ང236བ-321ན,,,,,,,,172,,ང,236,b,321,a,,,,,,,,,,
29,དགོངས་པའི་སྐད་ཀྱི་འགྲེལ་པ།,1-24,རྒྱུད་ ཇ།4,འཕགས་པ་ཀླུ་སྒྲུབ།,1537-1548,ཝ335བ-341ན,ཇ297ན-301བ,8,,,,,,,8,,ཇ,297,a,301,b,,,,,,,,,,
