སྣར་	སྡེ་	པེ་	ཅོ་
ཇི་	དེ་	ཇི་	དེ་	
ཡིས	ཡི	ཡིས	ཡི	
ལ འང་	ལ་	ལ འང་	ལ་	
ན	བྱ	ན	བྱ	
ཉ་	ཉ འི་	ཉ་	ཉ འི་	
བཟད་	བཟད་	བཟོད་	བཟད་	
ཡིས་	ཡི་	ཡིས་	ཡི་	
ཡི་གཡེངས་པ་	ཡིས་གཡེང་བ་	ཡི་གཡེངས་པ་	ཡིས་གཡེང་བ་	
ཀྱི་	ཀྱིས་	ཀྱི་	ཀྱིས་	
རྔུ ས་	རྔུ་	རྔུ ས་	རྔུ་	
ཀྱིས	ཀྱི	ཀྱིས	ཀྱི	
པ་	པོ་	པ་	པོ་	
མཚོ ས་	མཚོ་	མཚོ ས་	མཚོ་	
གྱིས་	གྱི་	གྱི་	གྱི་	
གིས་	ནི་	གིས་	ནི་	
ཡང་	ནི	ཡང་	ནི	
འདྲ ར་བྱུང་གྱུར་ན	འདྲ་བྱུང་བ ར་གྱུར	འདྲ ར་བྱུང་གྱུར་ན	འདྲ་བྱུང་བ ར་གྱུར	
ཀྱིས	ཀྱི	ཀྱི	ཀྱི	
པ་	པ ར་	པ་	པ ར་	
དེ འི་ཡང་	དེ་ཡི་	དེ འི་ཡང་	དེ་ཡི་	
བུ་	བུ འི་	བུ་	བུ འི་	
ཀྱི་	ཀྱིས་	ཀྱི་	ཀྱིས་	
པོ་	པོ ར་	པོ་	པོ ར་	
བརྩམས་འམ་	བརྩམ་མམ་	བརྩམས་འམ་	བརྩམ་མམ་	
པ་སྟེ	པ ས་ཏེ	པ་སྟེ	པ ས་ཏེ	
པ་	པ ར་	པ་	པ ར་	
པ་	པ ར་	པ་	པ ར་	
ཡི	ཡིས	ཡི	ཡིས	
ཉིད་	ནི་	ཉིད་	ནི་	
པ འི་	པ ས་	པ འི་	པ ས་	
ནི་འཇུག་པ ར་བྱེད	ཡང་འཇུག་པ ར་བྱ	ནི་འཇུག་པ ར་བྱེད	ཡང་འཇུག་པ ར་བྱ	
ན འང་	ན་	ན འང་	ན་	
གིས་	ནི་	གིས་	ནི་	
ནས་	པ ས་	པ ས་	པ ས་	
གིས་	ཉིད་	གིས་	ཉིད་	
པོ འི་	པ འི་	པ འི་	པ འི་	
པ འང་	པ་	པ འང་	པ་	
དེ་	དེ ས་	དེ་	དེ ས་	
གིས	གིས	གིས	གི	
མཛར་	མཛའ་	མཛར་	མཛའ་	
ཞིག་གི་	གྱིས་ནི་	ཞིག་གི་	གྱིས་ནི་	
ལ་	དང་	ལ་	དང་	
བ ས	བར	བ ས	བར	
ལ་	ལས་	ལ་	ལས་	
སྟི ར་	སྟི་	སྟི ར་	སྟི་	
ནི་སྦ་བར་	འདི་སྦ་བ་	ནི་སྦ་བར་	འདི་སྦ་བ་	
པ ར་	པ་	པ ར་	པ་	
འགྲོ ར་	འགྲོ་	འགྲོ ར་	འགྲོ་	
ན འང་	ན་	ན འང་	ན་	
པ འམ	པ འང་	པ འམ	པ འང་	
