མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
ཨེ་ཀ་ནཱ་ཐའི་དོན་འགྲེལ།,780,2,1,,ཆོས་ཚན་འདི་《སྡེ་》ན་མེད་པས་《པེ་》གཞིར་བཟུང་ནས་《སྣར་》དང་བསྡུར་བ་ཡིན།
,,3,2,《སྣར་》,འཁྲུགས།
,781,4,1,《སྣར་》,pཨོཾ་ཡེ་དྷརྨཱ་ཧེ་ཏུ་པྲ་བྷ་བཱ་ཧེ་ཏུན་ཏེ་ཥཱནྟ་ཐཱ་ག་ཏོ་ཧྱ་ཝ་དཏ། ཏེཥཱཉྩ་ཡོ་ནི་རོ་དྷ་ཨེ་ཝཾ་ཝ་དཱི་མ་ཧཱ་ཤྲ་མཎཿ། སརྦ།
