Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
། །གང་ཞིག་རྩོད་པར་མངོན་འདོད་པ། །དེ་,ཡིས་,,ཡི་,ཡིས་,ང་རྒྱལ་སྤང་བའི་ཕྱིར། །ཞིབ་མོ་རྣམ་འཐག་,K,p,,,,,,,,p=n d 88.00%,"p ཡིས(7433), དེ་ཡིས(1499); d ཡི(8322), དེ་ཡི(6810); n ཡིས(7433), དེ་ཡིས(1499);",1-དབུ་མ།_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།,2
ཆོས་མཐུན་པ་ཉིད་ཀྱི་ཕྱིར་རོ། །གཟི་བརྗིད་,,,ཀྱི་,,དཔེ་ཆུ་ཡང་མ་ཡིན་ཏེ། ཆོས་མི་མཐུན་,D,p,,,,,,,,p=n d 88.00%,"p (1), དཔེ(9), གཟི་བརྗིད(3132); d ཀྱི(5256), ཀྱི་དཔེ(54), གཟི་བརྗིད་ཀྱི(241); n (1), དཔེ(9), གཟི་བརྗིད(3132);",1-དབུ་མ།_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།,12
དོན་དམ་པ་དཔྱོད་པའི་སྐབས་ཡིན་པའི་ཕྱིར།,ཕྱིར་ རོ །_།,,ཕྱིར །,ཕྱིར་ རོ །_།,བརྡ་བྱས་པའི་མིང་དག་ནི་རྣམ་པ་དུ་མར་,D,p,,,,,,,,p=n d 88.00%,p ཕྱིར་རོ།_།(5578); d ; n ཕྱིར་རོ།_།(5578);,1-དབུ་མ།_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།,15
སོ།། །།ཁ་ཆེའི་པཎྜི་ཏ་ཨ་ནནྟ་དང་།,ལོ་ཙཱ་བ་,,ལོཙྪ་བ་,ལོ་ཙཱ་བ་,བ་དགེ་སློང་གྲགས་འབྱོར་ཤེས་རབ་ཀྱིས་བསྒྱུར་བའོ,K,,,nw✘,,,,,,p=n d 88.00%,"p ལོ་ཙཱ་བ(58); d ལོཙྪ་བ(236), །_ལོཙྪ་བ(49), ལོཙྪ་བ་དགེ་སློང(44); n ལོ་ཙཱ་བ(58);",1-དབུ་མ།_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།,24
མ་སྐྱེས་པ་དང་། གཉིས་ཀ་མེད་པའི་ཕྱིར་,ལྷག་ ཆད་,,#ལྟག་ ཆོད་,ལྷག་ ཆད་,ནི་མེད་དོ། །མ་ཡིན་ཏེ། སྔ་མ་,K,,,nw✓,,,,,,p=n d 88.00%,p ལྷག་ཆད(82); d ; n ལྷག་ཆད(82);,1-དབུ་མ།_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།,21
,#བེ་ ད་ #ལྱ་,,#བཻ་ ད་ #ལྱཾ་,#བེ་ ད་ #ལྱ་,སཱུ་ཏྲ་ནཱ་མ། བོད་སྐད་དུ། ཞིབ་,K,,,,✓,,,,,p=n d 88.00%,p ; d ; n ;,1-དབུ་མ།_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།,1
རྣམས་ལ་ནི་ཚད་མ་མེད་དེ་མར་མེ་ནི་,ཕྲད་པ འམ་,,འཕྲད་པ འམ་,ཕྲད་པ འམ་,མ་འཕྲད་པའི་མུན་པ་གསལ་བར་བྱེད་པ་མ་ཡིན་ནོ,D,,,,,⟶,,,,p=n d 88.00%,p ; d ; n ;,1-དབུ་མ།_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།,4
ནི་ཚད་མ་མེད་དེ་མར་མེ་ནི་འཕྲད་པའམ་མ་,ཕྲད་པ འི་,,འཕྲད་པ འི་,ཕྲད་པ འི་,མུན་པ་གསལ་བར་བྱེད་པ་མ་ཡིན་ནོ། །གཟའི་,D,,,,,⟶,,,,p=n d 88.00%,p ཕྲད་པའི(103); d ; n ཕྲད་པའི(103);,1-དབུ་མ།_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།,5
དང་གཞན་ཉིད་ལ་མེད་པའི་ཕྱིར་རོ། །ཚར་,བཅད་པ འི་,,གཅད་པ འི་,བཅད་པ འི་,གནས་ཀྱང་དེ་བཞིན་ནོ། །ཚར་གཅད་པའི་གནས་ལ་,K,,,,,⟶,,,,p=n d 88.00%,"p བཅད་པའི(497); d གཅད་པའི(242), ཚར་གཅད་པའི(59); n བཅད་པའི(497);",1-དབུ་མ།_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།,22
། །ཚར་གཅད་པའི་གནས་ཀྱང་དེ་བཞིན་ནོ། །ཚར་,བཅད་པ འི་,,གཅད་པ འི་,བཅད་པ འི་,གནས་ལ་ནི། ཚར་གཅད་པ་མེད་པ་དེ་,K,,,,,⟶,,,,p=n d 88.00%,"p བཅད་པའི(497); d གཅད་པའི(242), ཚར་གཅད་པའི(59); n བཅད་པའི(497);",1-དབུ་མ།_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།,23
